Ranking,University,Abbreviation,Course,Characteristics,Filesystems,Flash,FTL,NVMe,Key-Value,Persistent Memory,Disaggregation,Storage API,Distributed Storage,URLs
,UW Madison,UW Madison,"Introduction to Big Data Systems, 
Advanced Operating Systems",Other,"OS, Other",OS,,,,,,,DS,[bigdata](https://tyler.caraza-harter.com/cs544/f23/schedule.html) [os](https://pages.cs.wisc.edu/~bart/736/f2021/reading_list.html [distsys](https://pages.cs.wisc.edu/~ra/Classes/739-sp20/index.html)
,UC Santa Cruz,UC Santa Cruz,Storage Systems,Storage Systems,Storage Systems,Storage Systems,Storage Systems,Storage Systems,Storage Systems,,,Storage Systems,Storage Systems,[sto](https://users.soe.ucsc.edu/%7Ecarlosm/cmps229.spring19/Schedule.html)
,UC San Diego,UC San Diego,Modern Storage Systems,Modern Storage Systems,Modern Storage Systems,Modern Storage Systems,Modern Storage Systems,Modern Storage Systems,Modern Storage Systems,,,Modern Storage Systems,Modern Storage Systems,[sto](https://swanson.ucsd.edu/modern-storage-systems/)
,UC Santa Barbara,UC Santa Barbara,Advanced Topics in OS,,OS,,,,,,,,DS,[os](https://sites.cs.ucsb.edu/~rich/class/cs270/projects.html) [catalog](https://cs.ucsb.edu/education/courses/graduate-courses-and-their-area-classifications)
,KAIST,KAIST,Advanced Operating Systems,OS,OS,OS,,,,,,,"OS, DS",[os](https://oslab.kaist.ac.kr/ee817-fall-2021/) [catalog](https://cs.kaist.ac.kr/education/graduate)
,Uni. of Chicago,UChicago,"Advanced Operating Systems, Advanced Distributed Systems",,OS,,,,,,,,"OS, DS",[os](https://www.classes.cs.uchicago.edu/archive/2022/spring/33100-1/#readings) [catalog](https://mpcs-courses.cs.uchicago.edu/2023-24/courses)
,Uni. of Michigan,UMichigan,Advanced Operating Systems,,OS,,,,,,,,"OS, DS",[os](https://web.eecs.umich.edu/~ryanph/eecs582/fall23/schedule.html) [catalog](https://bulletin.engin.umich.edu/courses/eecs/)
,Purdue University,Purdue University,"Databases, Distributed Systems",,,,,,,,,,DS,[catalog](https://catalog.purdue.edu/preview_entity.php?catoid=7&ent_oid=1835#)
,Shanghai Jiao Tong Uni.,Shanghai Jiao Tong,Computer Systems Principles,Other,Other,Other,,Other,,,,,Other,[os](https://ipads.se.sjtu.edu.cn/courses/csp/) [catalog](https://www.cs.sjtu.edu.cn/en/Graduate.aspx?id=4)
,UC Riverside,UC Riverside,Advanced Operating Systems,Operating Systems,,,,,,,,,OS,[os](https://www.cs.ucr.edu/~heng/teaching/cs202-fall17/) [catalog](https://www1.cs.ucr.edu/graduate/course-listings)
1,University of Oxford,Oxford,Database Systems Implementation,Database Systems Implementation,,,,,,,,,,"[1](https://www.mastersportal.com/search/master?oi=35&dg=msc&kw-what=computer%20scienc), [2](https://www.cs.ox.ac.uk/teaching/MSCinCS/), [3](https://www.cs.ox.ac.uk/teaching/courses/2023-2024/databasesystemsimplementation/)"
2,Massachusetts Institute of Technology,MIT,"Database Systems, Systems Engineering",Database Systems,,,,,Database,,,,Other,"[1](https://catalog.mit.edu/subjects/6/), [2](https://dsg.csail.mit.edu/6.5830/syllabus.php) [sys eng](http://web.mit.edu/6.033/www/) [distsys](https://pdos.csail.mit.edu/6.824/schedule.html)"
3,Stanford University,Stanford,"Data Management and Data Systems, Advanced Operating Systems",Operating Systems,OS,OS,,,,,,,"Database, DS","[1](https://www.cs.stanford.edu/courses-overview), [2](https://shivag.github.io/cs145-stanford-fa23/) [os](https://www.scs.stanford.edu/23sp-cs240/sched/)"
4,ETH Zurich,ETH,"Data Management Systems, Cloud Computing Architecture",Database,OS,Storage Systems,Storage Systems,Storage Systems,Database,Other,,,DS,"[1](https://inf.ethz.ch/studies/master/master-cs-2020.html), [2](https://systems.ethz.ch/education/courses/2021-autumn/data-management-systems.html), [3](https://systems.ethz.ch/education/courses/2021-spring/cloud-computing-architecture.html) [arch](https://safari.ethz.ch/architecture/fall2023/doku.php?id=schedule) [sto](https://safari.ethz.ch/projects_and_seminars/spring2023/doku.php?id=modern_ssds)"
5,Carnegie Mellon University,CMU,Storage Systems,Storage Systems,Storage Systems,Storage Systems,Storage Systems,Storage Systems,,,Storage Systems,Storage Systems,Storage Systems,"[1](https://csd.cmu.edu/academics/courses), [2](https://course.ece.cmu.edu/~ece746/)"
6,University of Cambridge,Cambridge,Large-scale data processing and optimisation,,,,,,,,,,,"[1](https://www.cst.cam.ac.uk/teaching), [2](https://www.cst.cam.ac.uk/teaching/masters), [3](https://www.cl.cam.ac.uk/teaching/2324/part3.html), [4](https://www.cl.cam.ac.uk/teaching/2324/acs.html), [5](https://www.cl.cam.ac.uk/teaching/2324/R244/)"
7,National University of Singapore,NUS,"Database Applications Design and Tuning, Distributed Systems",Database,,,,,,,,,DS,"[1](https://www.comp.nus.edu.sg/programmes/pg/mcs/), [2](https://nusmods.com/courses/CS5421/database-applications-design-and-tuning), [3](https://nusmods.com/courses/CS5223/distributed-systems)"
8,"University of California, Berkeley",UC Berkeley,"Introduction to Database Systems, Implementation of Data Base Systems",Database,OS,,,,,,,,,"[1](https://www2.eecs.berkeley.edu/Courses/CS/), [2](https://www2.eecs.berkeley.edu/Courses/CS186/), [3](https://www2.eecs.berkeley.edu/Courses/CS286/) [os](https://inst.eecs.berkeley.edu/~cs162/sp23/)"
9,Hardvard University,Harvard,Data Systems,,,,,,,,,,,"[1](https://www.mastersportal.com/search/master?oi=11731&kw-what=computer%20science), [2](https://courses.my.harvard.edu/psp/courses/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON={%22SearchText%22:%22119249%22})"
10,Technical University of Munich,TU Munich,Database Implementation,,,,,,,,,,DS,[1](https://db.in.tum.de/teaching/ws2324/imlab/?lang=en)
11,Imperial College London,Imperial,Scalable Systems and Data,Other Systems,,Other,,,Other,,,,Other,"[1](https://www.imperial.ac.uk/study/courses/), [2](https://www.imperial.ac.uk/computing/current-students/courses/70022/)"
12,Princeton University,Princeton,Database and Information Management Systems,,,,,,,,,,,"[1](https://www.cs.princeton.edu/courses/catalog?type=all), [2](https://www.cs.princeton.edu/courses/catalog?page=1&type=all)"
13,Tsinghua University,Tsinghua,Distributed Database System,,,,,,,,,,DS,[1](https://ac.cs.tsinghua.edu.cn/curriculum.html) [2](https://www.slidestalk.com/u32/introduction_to_distributed_systems_tsinghua_cmu_double_master_rqe4uo?embed)
14,"Nanyang Technological University, Singapore",NUS,"Database System Principles, Big Data Management",Database,,,,,,,,,,"[1](https://www.ntu.edu.sg/scse/admissions/programmes/undergraduate-programmes/curriculum-structure#Content_C021_Col00), [2](https://www.ntu.edu.sg/docs/librariesprovider118/ug/electivefocusarea/u20-and-before_dsai-cores-and-mpes_updated-on--16-nov-23.pdf?sfvrsn=16aaa9ed_3)"
15,University of Washington,UWashington,"Principles of DBMS, Database Systems Internals, Database Management Systems, Data Center Systems, Computer Systems, Distributed Systems",Database,,,,,,,,,DS,[1](https://www.cs.washington.edu/education/courses/)
16,Cornell University,Cornell,"Advanced Database Systems, Introduction to Database Systems, Systems Programming",Database,,,,,,,,,,[1](https://www.cs.cornell.edu/courseinfo/listofcscourses)
17,Georgia Institue of Technology,GaTech,"Database System Implementation, Introduction to Database Systems, Advanced Database System Implementation",Database,,,,,,,,,Database,[1](https://catalog.gatech.edu/coursesaz/cs/)
18,University of Illinois at Urbana-Champaign,UIUC,"Database Systems, Advanced Operating Systems, Distributed Systems, Storage Systems",Storage Systems,Storage Systems,Storage Systems,,Storage Systems,Storage Systems,,,Storage Systems,Storage Systems,"[1](https://cs.illinois.edu/academics/courses), [2](http://catalog.illinois.edu/courses-of-instruction/cs/), [3](https://ramn.web.illinois.edu/courses/fall22/cs598/index.html)"
19,California Institute of Technology,Caltech,"Relational Databases, Introduction to Data Compression and Storage",Storage Systems,,,,,,,,,,"[1](https://catalog.caltech.edu/current/2023-24/department/CS/), [2](https://catalog.caltech.edu/current/2023-24/department/CS/#relational-databases), [3](https://catalog.caltech.edu/current/2023-24/department/CS/#introduction-to-data-compression-and-storage)"
20,Peking University,Peking,"Storage Technology Foundations, Advanced Topics in Foundations of Databases",Storage Systems,?,?,?,?,?,?,?,?,?,"[1](https://english.pku.edu.cn/curriculum/11302.html), [2](https://english.pku.edu.cn/curriculum/11324.html)"
21,Columbia University,Columbia,Advanced Database Systems,,,,,,,,,,,"[1](https://www.cs.columbia.edu/education/courses/2023/#), [2](https://www.cs.columbia.edu/education/courses/course/COMSE6111-001/35563/)"
22,Ecole Polytechnique Federale de Lausanne,EPFL,"Systems for data management and data science, Data-intensive systems,",Database,,,,,,,,,,[1](https://edu.epfl.ch/studyplan/en/master/computer-science/)
23,University of Toronto,UToronto,"Topics in Storage Systems, Advanced Data Systems, Research Topics in Database Management",Storage Systems,?,?,?,?,?,?,?,?,?,"[1](https://artsci.calendar.utoronto.ca/search-courses), [2](https://web.cs.toronto.edu/graduate/course-descriptions)"
24,University of Edinburgh,UEdinburg,"Introduction to Databases, Advanced Database Systems",,,,,,,,,,,"[1](http://www.drps.ed.ac.uk/23-24/dpt/utcmpsi.htm), [2](http://www.drps.ed.ac.uk/23-24/dpt/ptmsccmpsi1f.htm)"
25,New York University,NYU,"Networks and Mobile Systems, Honors Operating Systems, Database Systems, Advanced Database Systems",Database,OS,,,,,,,,DS,[1](https://cs.nyu.edu/dynamic/courses/catalog/level/GA/)